Pelanggan ke-,Waktu Kedatangan,Waktu Mulai dilayani,Waktu selesai dilayani
223,11.39.06,11.41.49,11.41.57
224,11.39.26,11.41.57,11.42.07
225,11.39.47,11.42.07,11.42.25
226,11.41.30,11.42.25,11.42.52
227,11.42.43,11.42.52,11.43.30
228,11.43.20,11.43.30,11.43.49
229,11.43.32,11.43.49,11.44.14
230,11.44.46,11.44.46,11.45.41
231,11.46.46,11.46.46,11.46.49
232,11.47.40,11.47.40,11.47.52
233,11.50.56,11.50.56,11.51.46
234,11.53.12,11.53.12,11.54.42
235,11.53.30,11.54.42,11.55.11
236,11.53.48,11.55.11,12.00.07
237,11.53.49,12.00.07,12.06.57
238,11.53.53,12.06.57,12.12.16
239,11.54.00,12.12.16,12.16.14
240,11.54.52,12.16.14,12.21.40
241,11.56.24,12.21.40,12.25.14
242,11.57.13,12.25.14,12.32.28
243,11.58.21,12.32.28,12.37.28
244,12.00.55,12.37.28,12.37.44
245,12.05.38,12.37.44,12.37.53
246,12.05.49,12.37.53,12.38.09
247,12.08.24,12.38.09,12.38.14
248,12.10.10,12.38.14,12.39.43
249,12.17.36,12.39.43,12.40.19
250,12.17.39,12.40.19,12.41.04
251,12.19.00,12.41.04,12.42.06
252,12.20.16,12.42.06,12.42.34
253,12.21.33,12.42.34,12.42.38
254,12.22.12,12.42.38,12.43.09
255,12.22.31,12.43.09,12.43.44
256,12.23.05,12.43.44,12.44.39
257,12.25.41,12.44.39,12.45.01
258,12.30.04,12.45.01,12.45.07
259,12.30.40,12.45.07,12.45.20
260,12.31.05,12.45.20,12.45.38
261,12.33.23,12.45.38,12.46.20
262,12.34.11,12.46.20,12.46.53
263,12.36.53,12.46.53,12.47.11
264,12.38.59,12.47.11,12.50.03
265,12.41.45,12.50.03,12.50.40
266,12.41.48,12.50.40,12.50.51
267,12.42.06,12.50.51,12.50.56
268,12.42.08,12.50.56,12.51.02
269,12.44.26,12.51.02,12.51.14
270,12.47.44,12.51.14,12.51.21
271,12.47.53,12.51.21,12.51.29
272,12.48.32,12.51.29,12.51.42
273,12.48.35,12.51.42,12.51.50
274,12.51.03,12.51.50,12.53.21
275,12.51.09,12.53.21,12.53.24
276,12.52.00,12.53.24,12.53.54
277,12.52.37,12.53.54,12.54.15
278,12.53.23,12.54.15,12.56.56
279,12.54.46,12.56.56,12.57.01
280,12.55.41,12.57.01,12.57.21
281,12.56.09,12.57.21,12.59.41
282,12.57.48,12.59.41,13.01.01
283,12.57.58,13.01.01,13.02.09
284,12.59.23,13.02.09,13.02.21
285,13.01.49,13.02.21,13.02.29
286,13.02.09,13.02.29,13.03.13
287,13.02.14,13.03.13,13.04.59
288,13.17.11,13.17.11,13.17.43
289,13.27.55,13.27.55,13.28.29
290,13.32.32,13.32.32,13.32.46
